Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Supplier Name,Customer Name,Skillset
1014,12-Jun-23,Heidi,Wood,Male,11/20/1965,(209)368-2818x1932,brentswanson@example.org,527 Jamie Viaduct,Christopherberg,CT,34112,Central African Republic,Bachelor's Degree,9,59082.57,Learning disability nurse,Rejected,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1015,4-Jul-23,Johnny,Nguyen,Other,11/23/1971,001-970-594-9559x42440,clarkdawn@example.net,621 Mitchell Glen Apt. 704,Leehaven,WV,82030,Kenya,Bachelor's Degree,2,91301.9,Web designer,Rejected,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1016,26-Jul-23,Olivia,Watson,Female,8/9/1970,,rachel98@example.com,3578 Warren Prairie Suite 287,North Ariel,NV,37858,Belize,Master's Degree,2,44515.4,"Scientist, research (physical sciences)",Interviewing,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1017,16-May-23,Anita,Jenkins,Male,1/2/2004,409-660-9413,charles11@example.net,6505 Dawn Burg,Tonyville,DE,54454,Morocco,Master's Degree,20,72554.88,Higher education lecturer,In Review,Seapuy,LB Inc.,"power bi, sql, snowflake, databricks, azure"
1018,12-Jun-23,John,Coleman,Female,8/1/2005,332.925.0075x0800,smithashley@example.org,5227 William Groves Apt. 165,South Andrewport,HI,22242,Poland,Bachelor's Degree,20,52923.21,"Merchandiser, retail",Offered,Velvias,VT Ltd.,"power bi, sql, snowflake, databricks, azure"
1019,26-Jun-23,Adam,Best,Other,5/28/2001,(592)449-4498,joe34@example.net,599 Mccoy Estate Apt. 522,Lake Christianshire,ME,84388,Ukraine,PhD,12,47680.62,"Buyer, retail",Rejected,Amasarte,EG Corp.,"spark, python, sql, tableau, azure"
1020,23-May-23,Cheryl,Peterson,Male,9/18/1990,001-466-805-0058x769,corey49@example.net,331 James Springs,Gibbsburgh,MH,70864,Costa Rica,Bachelor's Degree,6,36560.41,Water quality scientist,Interviewing,Egar,GA Inc.,"python, pandas, sql, power bi, tableau, azure"
1021,3-Jul-23,Rebecca,Jensen,Female,11/16/2002,573-612-6886x9739,jennifer31@example.com,96558 Robert Crest Suite 109,Kathleenfurt,IA,44432,Central African Republic,Master's Degree,15,91333.9,"Optician, dispensing",Offered,Glazila,SP Ltd.,"python, sql, power bi, .NET, C#, azure"
1022,3-Aug-23,Gabriel,Norris,Female,1/16/1975,+1-336-343-6187x705,gibbsjacob@example.net,156 Brandy Mountain,Port Andrewmouth,NJ,15235,United Arab Emirates,Master's Degree,17,35317.87,"Scientist, marine",Rejected,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
1023,8-May-23,Anne,Murphy,Other,10/31/1983,853-255-8266x26434,kristinross@example.net,8136 Theresa Avenue Suite 172,East Natalie,IN,99861,Kyrgyz Republic,PhD,11,66953.69,Armed forces technical officer,Rejected,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1024,25-Jun-23,Thomas,Phillips,Other,2/4/1965,(305)772-2998x02932,melvinzimmerman@example.org,5254 Murray Parkway Suite 484,Farrellland,ID,19021,Belgium,PhD,10,52499.44,"Scientist, research (physical sciences)",Interviewing,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1025,31-May-23,Nicholas,Conley,Other,10/10/2001,600.967.3095,jameslucas@example.com,10514 Long Ports Apt. 727,Port Daniel,OR,83798,Micronesia,Master's Degree,15,44240.27,Herpetologist,Interviewing,Lloctoy,JT Corp.,"power bi, sql, snowflake, databricks, azure"
1026,7-Jul-23,Jennifer,Austin,Other,2/3/2002,001-487-829-9532x746,prodriguez@example.com,1253 Monroe Rapid,North Benjaminfurt,AL,36583,Saint Kitts and Nevis,PhD,8,53070.82,"Production assistant, radio",In Review,Seapuy,LB Inc.,"spark, python, sql, tableau, azure"
1027,22-Jun-23,Cory,Miller,Other,6/11/1996,427.370.2512x6194,sandraferrell@example.net,168 Chris Roads Suite 459,Harveyport,OH,8947,Norway,High School,15,75285.32,Publishing rights manager,Interviewing,Velvias,VT Ltd.,"python, pandas, sql, power bi, tableau, azure"
1028,1-Aug-23,Barbara,Lopez,Other,12/1/1966,,lisalee@example.com,901 Erickson Burg,Port Christineborough,CA,76314,Iceland,PhD,19,57262.2,"Designer, television/film set",Applied,Amasarte,EG Corp.,"spark, python, sql, tableau, azure"
1029,15-Jun-23,Maria,Campbell,Male,12/6/1969,(960)528-9287x86849,juliecarter@example.net,4028 Victoria Trace Suite 510,Camachostad,KY,44349,Macao,Master's Degree,9,98369.62,"Designer, jewellery",Interviewing,Egar,GA Inc.,"spark, python, sql, tableau, azure"
1030,6-Jul-23,Duane,Lee,Other,10/22/1989,001-266-415-6019x161,jgarrett@example.com,7528 Anderson Locks Suite 143,North Benjamin,NC,28070,Cape Verde,Bachelor's Degree,12,36106.12,Media buyer,Applied,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1031,27-Jul-23,Danny,Jones,Male,8/14/1993,001-259-866-8517x64198,mhenderson@example.com,4322 Joseph Ports Apt. 157,South Johnburgh,IN,44276,Comoros,PhD,17,61638.6,"Designer, textile",In Review,Jamval,AJM Corp.,"python, pandas, sql, power bi, tableau, azure"
1032,2-Jun-23,Hannah,Moore,Other,12/20/1963,294.389.4316x75007,debra21@example.net,6417 Yoder Summit Apt. 056,Mayoside,DE,94533,Tunisia,Master's Degree,10,58593.41,Commercial horticulturist,Offered,Jaz Rum,JN Inc.,"spark, python, sql, tableau, azure"
1033,16-May-23,Mckenzie,Howe,Male,8/22/2002,230.888.7183,debra17@example.net,9645 Washington Throughway,Chandlerton,AR,19797,Burkina Faso,Bachelor's Degree,13,80345.63,Food technologist,Applied,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1034,30-May-23,Ashley,Williams,Male,3/30/1976,+1-946-933-4961x681,pbarron@example.org,456 Martin Oval Apt. 117,Zavalabury,MN,16709,Bahrain,Bachelor's Degree,6,94817.47,Chartered accountant,Offered,Lloctoy,JT Corp.,"python, pandas, sql, power bi, tableau, azure"
1035,14-Jul-23,Laura,Randall,Male,8/9/1970,,wallacemark@example.net,8884 Christopher Junctions,North Tammy,GU,98391,Anguilla,PhD,19,82854.39,"Optician, dispensing",Applied,Seapuy,LB Inc.,"spark, python, sql, tableau, azure"
1036,9-May-23,Katherine,Morris,Female,1/26/1979,(984)749-4059,matthewadams@example.net,90800 Michael Lodge,North Michael,DC,18588,Canada,High School,11,43831.75,"Surveyor, rural practice",In Review,Velvias,VT Ltd.,"spark, python, sql, tableau, azure"
1037,18-May-23,Martha,Bradford,Male,9/12/1980,(545)518-9685,kellysellers@example.net,1113 April Mountain Suite 431,Oliverhaven,NM,83371,Nauru,Bachelor's Degree,9,88074.11,Dance movement psychotherapist,Interviewing,Amasarte,EG Corp.,"power bi, sql, snowflake, databricks, azure"
1038,12-Jun-23,Jessica,Martinez,Other,9/4/1971,,thomas12@example.org,699 Rodriguez Greens,Jamesville,ME,45059,United States Virgin Islands,PhD,16,49673.27,Event organiser,Rejected,Egar,GA Inc.,"python, sql, power bi, .NET, C#, azure"
1039,22-Jun-23,Emily,Myers,Other,9/13/1993,+1-708-518-9313x498,jenniferreyes@example.org,814 Freeman Run,Lake Juan,IA,75775,Jordan,Bachelor's Degree,19,37991.23,"Psychologist, clinical",Rejected,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1040,3-Aug-23,Steven,Villa,Male,2/14/1993,,joseph36@example.com,4222 Cooper Ports,West Marissafort,LA,41339,Ghana,Bachelor's Degree,14,75258.56,Dispensing optician,Interviewing,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
1041,18-Jul-23,David,Walker,Female,1/25/1968,364.385.3544x351,jessicaaguirre@example.org,079 Jane Crossing,Port Rickyfort,WI,24323,Cape Verde,PhD,0,56440.24,Health service manager,Offered,Jaz Rum,JN Inc.,"spark, python, sql, tableau, azure"
1042,10-May-23,Timothy,Rodriguez,Female,6/30/1988,524.599.9460x10219,gloriacruz@example.com,19205 Burke Ports Suite 746,Whitebury,OK,35524,Niger,PhD,14,65868.72,Clinical cytogeneticist,Rejected,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1043,21-Jun-23,Kevin,Lucas,Female,12/25/1973,(846)687-4365,robertthompson@example.com,4589 Brittany Grove Suite 096,Gomeztown,MH,21310,Antarctica (the territory South of 60 deg S),PhD,8,77256.91,Sports administrator,Offered,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1044,30-May-23,Sarah,Fischer,Other,11/20/1993,(859)447-7321,wjackson@example.com,9332 Kelley Mission,Donshire,PW,66350,Hong Kong,PhD,5,52012.21,"Therapist, nutritional",Applied,Seapuy,LB Inc.,"python, pandas, sql, power bi, tableau, azure"
1045,30-Jul-23,Joshua,Weeks,Other,5/27/1994,699-982-2807x65316,telliott@example.org,61766 David Skyway Suite 232,Gonzaleschester,PR,44532,Luxembourg,High School,19,87903.51,Barrister's clerk,In Review,Velvias,VT Ltd.,"spark, python, sql, tableau, azure"
1046,15-Jul-23,Nicholas,Jenkins,Female,12/24/1965,(225)352-3015x07397,lsmith@example.org,338 Evans Coves Suite 568,New Kenneth,MS,93369,Afghanistan,Bachelor's Degree,8,79162.92,"Sound technician, broadcasting/film/video",Applied,Amasarte,EG Corp.,"python, sql, power bi, .NET, C#, azure"
1047,24-May-23,Jeremy,Stevens,Female,8/23/1994,,taylormason@example.com,908 Vasquez Knolls,Kathleenview,AK,15637,Holy See (Vatican City State),High School,14,99015.22,Therapeutic radiographer,Rejected,Egar,GA Inc.,"python, pandas, sql, power bi, tableau, azure"
1048,28-Jul-23,Paul,Johnson,Male,7/31/1986,+1-352-506-4850x497,ppowell@example.org,508 Freeman Creek,Freemanbury,ND,53823,Monaco,PhD,7,50437.39,"Engineer, electronics",In Review,Glazila,SP Ltd.,"python, pandas, sql, power bi, tableau, azure"
1049,4-Jul-23,Jerry,Hernandez,Other,4/7/1976,698-300-1600x23221,upeters@example.com,83202 Ingram Fields,Campbelltown,ME,45037,Marshall Islands,Master's Degree,4,86589.55,"Scientist, research (medical)",Applied,Jamval,AJM Corp.,"spark, python, sql, tableau, azure"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
